Police Force, Cocaine , Crack , Ecstasy , Heroin , LSD , Methadone , Morphine , Herbal Cannabis , Cannabis Resin , Cannabis Plants ,Amphetamines,Barbiturates , Anabolic steroids , Benzodiazepines , GHB , Ketamine , Temazepam 
Lincolnshire,0.08541,0.30521,0.20458,0.74226,0.00000,0.28570,0.01700,0.73597,0.14128,96.00000,0.77712,0.00000,0.03354,0.15770,1.79900,0.00000,0.00300
Northamptonshire,0.12078,0.04245,0.69300,0.03944,0.00100,0.15800,0.50500,26.56168,0.37541,8764.00000,0.18637,0.00000,0.00600,10.87974,0.87800,0.00000,0.14200
Nottinghamshire,4.28780,2.76861,8.87832,3.79014,0.00700,0.98020,0.08650,197.97977,1.75257,26533.00000,36.07178,0.00000,0.00050,19.17791,0.59400,0.00000,0.00000
Staffordshire,14.56627,0.32068,37.54299,16.87191,0.00100,5.85700,0.20500,47.89264,3.15909,12735.00000,6.17632,0.00000,0.00504,12.31510,1.23677,0.00000,0.00200
Warwickshire,0.01601,0.00356,0.01000,0.00285,0.00000,0.02100,0.00000,5.53818,0.33023,870.00000,0.00799,0.00000,0.00541,5.06200,0.02700,0.00000,0.00000
West Mercia,0.39454,0.01044,43.79400,0.23406,0.00100,5.41100,0.04700,18.81430,0.74239,1487.00000,1.89977,0.00000,0.00148,1.10900,0.26500,0.02070,0.00000
West Midlands,1.36460,1.02406,0.58701,0.82180,0.01200,1.23500,0.04000,67.43591,2.28540,54711.00000,0.18615,0.00000,0.00699,0.72207,0.66800,0.00020,0.00500
Bedfordshire,,,,,,,,,,,,,,,,,
Cambridgeshire,1.17973,0.03367,0.52918,1.77294,0.00000,3.86720,0.00200,29.46996,0.22111,8682.00000,5.10051,0.00000,0.02131,0.36900,0.09800,0.00000,0.00000
Essex,7.28438,0.55873,1.31936,1.60342,0.00000,0.07400,0.00300,46.36297,154.89553,13720.00000,3.93170,0.00000,0.01416,0.10700,0.01400,0.02140,0.00000
Hertfordshire,6.60977,0.08626,2.77266,1.34667,0.00000,0.00100,0.00000,43.73742,0.01916,2159.00000,8.12861,0.00000,0.00000,0.00000,0.30000,0.00000,0.00000
Norfolk,1.96841,0.09859,0.34281,0.56451,0.00300,4.87868,0.32450,41.69412,0.74045,6049.00000,0.44981,0.00000,0.01199,0.22100,8.10100,0.00000,0.02200
Suffolk,0.29709,0.15380,0.93416,0.16049,0.00000,0.10000,0.00000,5.92734,0.80083,4616.00000,0.07163,0.12500,0.03817,0.00000,0.05200,0.00000,0.00000
"London, City of",0.35326,0.00000,0.43864,0.00307,0.00000,0.00000,0.00000,2.02217,0.13209,0.00000,0.00721,0.00000,0.00000,0.00040,0.00600,0.00000,0.00000
Metropolitan Police,406.82274,15.53022,17.41444,298.09856,0.07500,1.04400,0.01200,2554.61672,135.57364,38369.00000,13.39381,0.00000,0.22560,0.74754,4.45337,0.04108,0.00000
Hampshire,,,,,,,,,,,,,,,,,
Kent,6.00965,0.83178,1.04600,1.86225,1.20800,0.02900,0.30000,30.92704,1.27218,3681.00000,1.62505,0.00000,0.00098,0.12870,0.01000,0.00000,0.00000
Surrey,7.57314,0.39219,1.56531,0.45565,0.00100,0.81813,0.00200,85.66840,2.76016,1267.00000,0.15309,0.00000,0.10009,0.22000,0.20541,0.00000,0.00000
Sussex,14.60157,1.13345,6.30132,2.13321,0.05300,1.42300,0.54800,128.22504,20.30083,15302.00000,4.93563,0.02200,0.09267,3.28284,4.38500,1.34796,0.05000
Thames Valley,0.29693,0.23060,0.43200,0.54295,0.00100,2.34900,0.00100,23.05505,1.05535,2791.00000,0.00831,0.00000,0.03208,0.01672,0.19310,0.00020,0.00400
Avon & Somerset,10.97673,1.40124,10.50758,11.12047,0.43600,0.83321,0.03530,86.87424,2.62079,9785.00000,17.96706,0.00000,0.14256,1.39634,3.89909,0.00000,0.01500
Devon & Cornwall,5.29973,0.33647,2.56123,3.76778,0.71900,13.19865,0.18400,28.62180,2.54944,4266.00000,3.65932,0.00000,0.00157,0.05800,6.98534,0.00000,0.01300
Dorset,0.53503,0.22506,3.09025,0.66400,0.00000,0.00000,0.07600,53.99280,1.49696,3146.00000,16.82018,0.00000,0.12873,0.44178,1.01595,0.00000,0.01095
Gloucestershire,1.05755,0.34026,0.54780,0.29292,0.00200,0.00600,0.14700,10.93706,0.43059,1013.00000,1.15295,0.00200,0.02980,0.43600,0.20700,0.00000,0.00100
Wiltshire,1.64235,0.30340,0.25380,0.24849,0.00100,0.13500,0.00100,16.42807,0.60223,1148.00000,0.27306,0.00000,0.05385,0.01317,0.01200,0.00000,0.02000
British Transport Police,1.23299,0.01809,4.23532,0.24369,0.02400,0.30300,0.00100,19.93802,6.58905,2737.00000,0.54308,0.00000,0.03496,0.08200,1.78530,0.00140,0.25000
Border Force,2690.54242,0.28800,925.87373,644.83350,0.07700,0.00000,8.61730,10457.70683,6736.69904,0.00000,38.97347,,53.90054,15690.69467,,0.00000,
