,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedford,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,"Bournemouth, Christchurch and Poole",Bracknell Forest,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Camden,Central Bedfordshire,Cheshire East,Cheshire West and Chester,City of London,Cornwall,County Durham,Coventry,Croydon,Darlington,Derby,Doncaster,Dorset,Dudley,Ealing,East Riding of Yorkshire,Enfield,Gateshead,Greenwich,Hackney,Halton,Hammersmith and Fulham,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hillingdon,Hounslow,Isle of Wight,Isles of Scilly,Islington,Kensington and Chelsea,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Leeds,Leicester,Lewisham,Liverpool,Luton,Manchester,Medway,Merton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,Northumberland,Nottingham,Oldham,Peterborough,Plymouth,Portsmouth,Reading,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Rutland,Salford,Sandwell,Sefton,Sheffield,Shropshire,Slough,Solihull,South Gloucestershire,South Tyneside,Southampton,Southend-on-Sea,Southwark,St. Helens,Stockport,Stockton-on-Tees,Stoke-on-Trent,Sunderland,Sutton,Swindon,Tameside,Telford and Wrekin,Thurrock,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,West Berkshire,Westminster,Wigan,Wiltshire,Windsor and Maidenhead,Wirral,Wokingham,Wolverhampton,York,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,Cumbria,Lancashire,East Sussex,Hampshire,Kent,Oxfordshire,Surrey,West Sussex,Devon,Gloucestershire,Somerset,Staffordshire,Warwickshire,Worcestershire,North Yorkshire
Shropshire,15910,13204,12776,19451,13976,15564,4736,10814,10136,8456,20251,15414,12596,13559,16892,10196,13257,13982,8996,13637,12502,,8403,8694,12369,38902,42362,7016,13377,14876,8636,11276,45394,6596,15141,20772,13736,17936,13784,12876,8955,13313,13248,11817,19796,15532,31695,14469,15653,30004,,12138,13119,14696,14097,14671,10500,13346,10916,10256,14486,7620,14817,6236,18843,14727,18356,9360,17156,14515,15529,36910,15110,20655,,10316,9236,14576,19376,19196,11940,14906,21420,13864,11216,10676,,7856,5906,10534,9536,0,13680,7196,14611,20555,15720,16137,13173,9163,5396,16856,6296,18356,13977,13020,9269,8590,16826,19376,13616,9835,11876,6476,13419,13510,6236,38115,12557,6896,15747,15475,8984,13860,3476,12956,12315,12373,37635,13870,33337,16566,16720,46828,43763,38492,,8554,35354,18276,15787,12610,14724,35193,16723,9845,39596,,12007,10847,14917
Slough,6065,4507,13003,7806,6300,6688,9660,15808,14700,13260,9571,4427,13800,3589,8435,5820,4620,5823,13200,15983,2939,7854,12355,14154,3868,18262,37483,6780,4380,11640,10680,9060,56293,11329,2783,16161,3960,14220,3827,3867,13504,2757,3951,3600,17400,5755,37995,3608,3051,11580,,3021,2262,14160,5033,17555,16151,3870,11280,9000,5038,11640,4620,10560,7513,4518,15180,6600,13440,4869,14153,32170,9560,16372,,10080,13920,6060,12000,7260,1320,5849,19024,3643,14040,11940,,12660,12030,14854,13200,14001,0,8220,9095,16359,4020,7200,3637,13561,9900,14460,8100,15787,5640,3420,14044,21079,7169,10860,3959,14938,10260,10140,4302,4151,11100,7035,3137,11760,7980,1515,15105,3300,9540,9600,14715,9557,28635,11169,28597,8050,8038,26889,46583,28112,,13478,10296,6497,8110,4330,5968,11116,9707,7805,28616,,7627,26147,13241
Solihull,11247,9267,9540,15418,9480,11792,720,12600,11160,9840,14071,9234,12960,7832,13115,6600,9000,7326,10320,14361,7859,13554,8314,10674,8028,23302,41662,3168,8880,13200,4080,9840,41434,3639,8388,17121,9720,16080,9082,8507,8659,8457,9291,6740,18540,11035,32355,8299,10631,20412,,7721,7602,13800,9360,14375,10442,8723,9720,5400,9478,7800,10980,8420,12520,10110,17940,6408,15180,9778,16913,33750,10554,18690,,6000,10860,9060,17220,12720,5760,10109,18244,9427,10260,8340,,9367,3330,10654,6900,8020,7030,0,9635,18219,9540,11880,8797,8207,7760,17220,5960,16920,9540,8460,9932,11839,12329,17237,8819,11478,8700,3420,9002,9125,6060,33155,7937,6720,12968,8975,10905,8460,2880,11220,8655,8177,32675,9130,12965,14170,12823,30929,51983,34192,,8531,31054,11117,12370,6430,9688,15226,15343,5202,35636,,4927,6693,13601
South Gloucestershire,14222,12882,15215,5828,15335,14827,8555,18773,18155,17135,16206,10949,16895,11784,15850,1308,12515,14640,17195,18838,11194,35981,16911,17189,11663,17937,45277,10055,12395,21575,11315,15635,29769,12024,11805,24352,12575,24335,12345,11954,16208,11072,12626,12335,42455,14250,38870,13063,12779,18947,,11216,10337,19475,12275,20590,18759,12205,15215,12515,13024,14675,13835,14495,17922,12449,21695,11435,23615,13184,22108,39105,3929,24807,,13235,17615,15035,11675,11255,7415,13564,25556,12826,17075,14135,,16199,10925,17889,12575,12116,9395,12515,0,26474,9215,15815,11952,17482,13835,23435,12035,23675,13055,5615,17227,18414,16504,9575,12274,17510,14315,10835,12497,12226,13055,40250,11152,13715,8106,11715,17754,8915,10235,17255,14030,14360,39770,16278,35532,16065,16398,41684,54358,37687,,15493,34549,12910,15465,9884,13503,37328,9382,4565,23971,,12942,40102,19276
South Tyneside,20789,19119,12602,29139,22142,21334,15273,16700,17942,14342,43744,22616,11402,18771,22837,21273,19202,22829,14282,13465,17847,37599,18798,20636,17594,47155,9724,16773,18902,5042,12813,9182,54067,18453,20894,12834,18482,2470,18954,17946,20244,17190,16344,16653,3956,18868,49488,18112,19529,30221,,15834,16935,12393,18093,13388,18637,17252,8193,15033,18986,14853,16893,11913,22360,18507,7305,17733,3092,16242,15986,35323,26427,3735,,14913,14584,11313,39453,22233,16893,18542,8837,18493,13353,10173,,12633,18423,17767,11133,20871,16713,17933,25688,0,21753,19893,16930,17614,14493,5156,16953,2508,18513,18813,13865,45863,19262,39453,15332,16702,9093,16893,17115,18004,16293,41868,16493,14973,46164,19441,17632,18633,17193,6693,17628,16730,36048,24076,37090,17683,19456,40088,44336,42965,,15704,39827,21759,18523,21704,18781,38946,39800,18975,49169,,46047,41720,9314
Southampton,9747,7867,17100,9599,10560,8908,9060,18780,17280,16020,6270,4854,17940,8149,7535,6000,6840,10347,17520,20003,7019,12774,17236,19074,5983,20782,43502,7740,5400,15480,12000,13560,51973,12349,7200,21496,7980,17760,7095,7254,17648,7124,7611,7860,20520,9595,40815,8888,8664,7278,,6501,6402,17940,5880,22475,19264,6438,15540,11700,7798,15480,8640,14820,11113,6138,18300,8400,17160,7798,18173,34870,9954,20392,,13860,17940,10080,14040,1740,2880,8609,22144,5887,18000,16020,,16524,11970,18874,14460,15021,4860,9120,8498,20379,0,10200,6757,16667,14160,17580,12360,19807,6060,4860,17552,21379,10467,15437,7259,19395,14640,11160,7842,5199,13620,9975,5738,14280,8658,6815,18464,4080,10560,13500,15915,13152,35595,14563,31297,11770,10581,32589,50063,33512,,16058,29114,2131,10270,6789,3508,7766,12195,11225,32996,,8647,35927,17261
Southend-on-Sea,4107,6667,15900,16417,8820,7592,10560,17640,16140,14940,15870,9414,15060,6649,9515,11820,6420,10605,15600,17003,5699,10854,14395,16134,3948,23482,39962,9180,5220,14040,12240,11460,40714,13440,7980,18261,5820,16740,4127,5186,14455,6284,6172,7320,19680,3760,43275,8899,8396,17048,,5189,5682,14940,6660,19355,17764,6270,13440,9660,6936,13380,6780,12960,8297,7097,16740,7440,16020,4351,16193,32710,15594,20231,,11880,16620,8040,17400,11400,7620,5842,19204,6760,15840,14476,,14760,13170,16654,13500,16521,7800,11940,12671,19359,9420,0,4970,15527,12360,16020,10620,18060,6540,9240,15844,21799,3455,17417,4019,17878,12480,12300,5358,6519,12480,15109,4757,13140,14408,9815,16484,7980,12480,12240,18075,12917,29835,13243,29137,9850,2443,11109,45117,26884,,14918,24614,9617,8325,10510,6988,11066,15523,12905,33956,,12727,30167,16421
Southwark,4752,3814,12927,12657,6248,4504,7191,14598,13158,11838,12090,5633,12927,3616,6532,8451,2625,6899,12796,16108,2932,7967,11131,12970,1316,20598,35798,5811,2297,11727,8376,8187,58812,10233,4454,15528,3825,14247,2612,3090,11511,3382,3273,4047,14727,4420,40311,5623,5125,12622,,2344,2709,12087,3134,16671,14706,2583,10587,6422,3588,10416,4568,10216,5534,3112,13287,4071,13647,3135,14240,28966,12045,15713,,8342,13667,4947,15027,7514,3987,3794,16351,2886,13216,14496,,11596,9801,13630,10527,13032,4274,8451,9209,16386,6374,5141,0,12485,9556,13647,7596,15087,2822,5571,13008,18775,5916,15656,2594,13935,9747,8871,3669,3064,9438,11091,1697,10098,9387,6765,14880,5639,9051,9507,12411,7816,25011,9540,14732,6624,5244,7620,44730,8871,,11876,8893,6705,6703,7330,3567,9422,13884,10796,30512,,9358,25943,12582
St. Helens,15494,13254,8253,21744,14747,16395,8867,5105,3767,2867,25158,16721,8191,13536,16942,13307,13307,13992,6211,8514,12252,,9069,9041,12239,40989,40953,11447,13247,10351,10799,9299,47901,10247,15299,15472,12947,13051,13474,12701,2419,13471,12998,13547,14911,15102,38822,15570,15703,33235,,12008,13289,10113,14147,9049,2734,13294,5793,12047,14536,1307,16007,4259,19674,14777,12691,8807,12211,14456,13852,33341,17441,15770,,11984,6211,13619,20867,18587,14267,14416,16535,13914,5551,8819,,3647,10337,4641,7799,8288,14627,10967,16858,15670,19367,16187,13224,0,5219,11971,7499,15098,14027,16127,4565,16206,16876,21424,13246,6993,10079,10127,13349,13432,2182,40262,12367,1067,22278,16602,4351,15167,7367,7833,12794,14171,34066,15630,30545,17397,16770,38036,54730,37699,,3045,34561,19583,15837,14457,14475,37340,24799,12077,42103,,36281,32554,10229
Stockport,12567,9967,5700,19237,10500,12392,4860,4638,6600,2280,19351,13314,6420,9889,13115,11340,10320,11750,3180,6801,8665,33726,3190,5214,8652,38242,14942,6480,9540,8580,5580,5400,45154,7860,11640,12076,9720,11640,10282,9054,4204,10257,9291,8880,12180,11635,39435,11743,11996,23476,,8301,9402,8520,10260,7031,5928,9569,4620,7800,11399,4560,15720,540,12880,11180,10740,4980,10740,10678,8513,27850,15058,14359,,5580,4305,8340,18960,15840,11220,11069,13804,10027,3240,3540,,1680,7710,6694,2400,4978,11400,7740,14195,14259,13500,12780,9637,4811,0,10560,2520,13687,10200,13020,3258,15619,12989,18960,9779,4326,4680,6240,9582,10085,1980,37515,8780,4680,19891,13469,7664,12240,4980,6660,9315,7877,28575,10329,9922,12370,12823,35769,51443,35732,,4631,32594,13517,12584,11710,11248,15206,16307,8945,39356,,11420,29327,8621
Stockton-on-Tees,16287,13867,8760,26437,12840,15988,12540,13758,15240,11460,40351,17394,7500,13429,17615,18000,13800,18387,11340,9443,12625,36846,15895,15894,12372,45442,7022,14040,13920,1020,10200,4680,52354,16140,15492,9681,14160,3900,13787,12759,14913,13737,12951,13260,3184,15295,46875,15667,16136,28928,,12021,13482,8340,14040,11116,14116,13530,5520,12720,14729,12420,13800,8880,21067,14177,1080,16740,3300,14949,34493,34270,23694,7324,,11040,11611,7860,25560,19740,15060,14489,2632,14167,10800,6720,,10260,15690,15934,7680,17841,14280,15980,21395,5750,20460,16440,13477,12587,10920,0,13260,2880,15060,17220,10952,42019,16469,26117,13199,12918,6780,14220,13242,13685,11940,41115,12740,11160,27614,16649,16424,17340,14460,4020,14775,12797,34995,20623,12185,13390,18163,38889,48323,42152,,13058,39014,20075,17417,18694,15148,38193,23826,16530,46556,,44334,40967,8861
Stoke-on-Trent,10347,7987,9180,17317,9960,10307,2940,7758,7620,4860,17431,11394,9540,7969,11855,8820,8040,12625,6180,9681,6685,13074,2374,8574,6672,36262,37682,4560,7800,12420,2940,8760,43174,4199,9300,15556,7380,15000,8002,7134,5409,7977,7431,7500,14580,9955,37695,10039,9836,20168,,6441,7722,11940,8280,9215,7976,7650,8040,5460,8998,3960,8640,3360,11440,9011,13140,3360,14220,8878,10673,30070,12774,17152,,5400,6960,9480,17040,13980,9240,9389,16204,8107,5100,5640,,4800,4770,7354,6180,5560,9120,4860,11855,17139,13020,10500,7777,6301,2640,13500,0,16380,9060,10320,5732,13999,11849,17040,7859,6397,9120,4680,7722,7805,3420,35535,6800,4080,15188,11320,7064,10620,1800,9600,8055,5537,30795,8709,12365,11470,11458,33309,50363,33932,,5858,30794,13037,11890,9208,8968,12926,14387,7422,37376,,9187,8913,11681
Sunderland,20375,18705,12188,28725,20228,20920,14828,16286,17528,13928,43299,22202,10988,18357,22423,20288,18788,22415,13868,13051,17433,37154,18384,19974,17180,45802,8102,16328,18488,4388,12488,8768,52714,18428,20480,13289,18068,1696,18540,17532,17156,18725,17879,18368,1560,19983,49043,20355,20978,29776,,16949,18170,10628,19628,13063,16404,18398,7688,15008,19837,14708,19688,11408,21915,20065,3420,18008,1855,19037,13981,34878,25982,4737,,14408,14468,12608,27848,25268,19628,19777,6321,19395,13088,12548,,12188,17978,18222,10568,23121,19808,18268,23683,2124,23228,21608,18045,15527,14288,2760,16568,0,19508,21488,13420,42731,21572,28405,18127,15606,8648,16508,18230,19059,15900,41423,17548,14588,29902,21636,18712,21428,16748,6068,17063,15085,35603,22911,36645,19278,22386,39197,54811,42512,,16926,39374,23264,21738,24582,20136,38501,26114,18818,48724,,44694,41275,10369
Sutton,6087,4927,19980,14518,7080,5668,8640,15628,14880,13680,11491,5034,14220,4849,5615,9540,3240,9063,13620,16403,3839,8634,12175,13974,2742,21682,36362,7200,1208,12060,11460,9480,58213,11760,6445,16581,4380,14640,3532,3867,13324,4004,4071,4260,17820,5935,41715,7039,5542,12668,,3141,3402,13740,2160,17375,15971,3270,11700,9780,4558,11460,5400,10980,6613,1938,15600,7020,13860,4138,15773,30918,13134,16792,,10860,14340,6480,15660,7860,5880,5249,19444,2287,14460,17580,,13080,11430,14674,13980,14601,6120,9420,10391,16779,5940,6360,2917,13381,10320,14880,8520,16207,0,6900,14464,20707,6749,16337,4259,15358,10680,10260,4422,2284,10920,14133,2378,11580,10471,6389,14925,5040,10380,10020,15495,10337,28215,10989,27345,9430,6823,10569,45923,28237,,13298,8294,6751,6490,9809,2968,8387,13832,10890,32396,,11540,28235,13661
Swindon,7887,7207,15660,4266,9540,9028,8220,17700,16200,14880,10411,4074,16860,6169,10775,2280,6360,9759,15540,18923,5459,11394,15295,15714,5988,15562,39602,6360,6720,14400,10980,12120,57133,10969,5220,20116,7320,16680,6615,6387,14395,4797,6951,5880,19140,8695,39375,6128,6771,12420,,5541,4842,16560,6600,19295,17704,6390,14220,10620,7318,13920,7980,12900,10033,6737,16920,6780,16080,7138,17093,33730,5836,19312,,12900,16560,8100,9840,8100,1740,7949,20764,6547,15780,14580,,14700,10590,16594,13020,12561,3600,7740,5495,19299,4860,9360,6277,15587,12300,16200,10980,18727,6780,0,15784,22960,9387,8640,6419,17818,13260,9780,6822,6551,12540,33615,5477,13200,5791,5615,17384,3300,9180,12420,14475,11772,33135,12583,30157,10390,10183,31389,48623,31052,,14978,27914,7337,10390,4270,5128,12446,7967,3102,28676,,7267,33467,16181
Tameside,15855,13148,5881,23018,14854,16289,8641,7459,8401,4381,24245,16888,5641,13503,16836,14341,13201,15568,5537,5782,12446,37267,8468,10735,12313,42683,14343,10261,13321,7981,9934,6721,49595,11641,15085,10818,14461,11041,13728,12820,7978,14038,13192,11761,11281,15476,44116,14413,15597,29022,,12082,13063,7981,14041,6432,7489,13290,3601,11434,14430,7381,14761,2401,19568,14671,10681,9094,10141,14459,12987,29291,18475,13760,,10534,2515,9841,22141,20341,15001,14850,12905,13808,4135,7954,,4686,12070,10835,6934,9322,14521,10501,17892,13660,18454,16081,13898,7772,3394,9961,5674,13088,13921,16621,0,17720,16770,22698,13560,7356,5581,10021,13363,13454,5341,41356,12501,6917,22172,16496,10905,16894,8821,5641,11929,13306,30016,14717,30998,14951,16664,37557,53424,39581,,7059,37118,18670,15731,15491,14642,38614,20407,13111,43797,,37375,31368,8022
Telford and Wrekin,17451,15408,14544,18201,15744,18776,6864,16242,15384,13824,21895,16698,16644,15553,18719,12744,15084,15483,14364,18465,14449,17763,13029,16458,14196,32206,26006,8664,15204,17964,9384,14964,25438,8124,17244,22434,16344,20544,15791,14811,14266,15921,14895,14064,21624,17479,14162,17671,17660,26200,,13965,15066,18924,15924,18155,15620,15234,14424,11844,16414,11604,16508,11604,19117,15942,20124,10644,19944,16282,20897,20854,15978,23353,,13104,15144,15204,24324,20124,13224,16673,22768,15691,15504,13464,,13224,8245,14518,11904,5535,14964,9744,14939,22803,16884,18744,15181,14125,10764,20544,7944,21684,15804,14304,14997,0,18921,23184,15383,14850,13584,8484,15306,15423,11304,67559,14384,12144,20802,16732,12968,14964,5724,16224,14602,13416,23979,16006,20406,20014,19807,,64567,23310,,13862,22838,18450,18034,13294,17152,22211,21646,11514,23922,,11251,18961,18605
Thurrock,5171,7753,18515,17412,9306,8138,11015,18666,17166,15906,16686,9329,16835,7675,10301,12846,6726,11133,16115,18898,6545,11669,15270,17969,4794,24508,40052,9695,6246,14375,13595,13086,41644,14315,8886,20391,5975,16655,5116,5401,17534,7250,6267,6995,19415,5255,44380,9114,9182,19427,,6025,6288,16835,7566,21370,18159,6924,15186,10595,7575,14375,7746,13475,6232,7877,17195,8286,16055,5217,17068,35135,16620,19287,,12755,16835,9066,18426,12246,8466,6148,21039,7906,16175,14915,,15575,13925,17769,15995,17216,8766,11935,16121,19274,10655,4540,6176,16553,12815,16475,11015,18702,7746,10386,16959,26144,0,18443,5025,18290,14226,13655,5573,6995,13506,26935,5543,14166,15434,10474,17359,9335,13175,12395,19430,12047,31360,13458,31562,10365,4118,48764,46803,29277,,15944,26139,11332,8836,11844,8014,12421,16549,13360,35846,,33624,31692,16156
Torbay,16227,15320,21878,12958,15900,16247,11460,43278,25320,21960,15770,12054,23160,13789,17675,6000,14040,17685,21840,25323,13079,37446,43255,29514,13243,10702,52041,13140,13980,21840,13920,20220,33214,14460,13692,50019,15300,24540,14207,13899,22654,13077,14511,13920,49219,16435,47355,14948,14317,21815,,13161,12522,23400,14880,26255,23884,14018,19020,16320,15269,19860,14940,18540,20527,14550,25980,15180,23820,15189,25913,47590,9654,26692,,17760,21660,18480,3360,14359,9600,15389,46024,14527,23402,19216,,21420,14250,23494,16560,17301,11400,13380,9635,26679,11479,17580,13897,23879,18540,46159,15960,25560,14760,8640,22133,40579,17609,0,14279,22918,18060,13680,14382,14051,21000,29175,13457,21660,12968,13649,23084,11280,13020,19860,17955,18437,34635,20083,44017,18130,19303,39489,47603,39152,,23438,36014,15475,16990,13989,15328,38793,3107,10230,8175,,44814,41567,23561
Tower Hamlets,3013,3955,11998,13213,6255,5092,7367,14747,13307,11987,12057,6129,12795,3756,6770,9075,3556,7292,12467,14978,2952,7809,11350,12641,1503,21217,36317,5987,3016,10935,8475,8055,36649,10409,4607,15456,2868,13515,2734,2458,11660,3612,3428,4067,16695,3310,40470,5874,5443,13847,,2530,2849,12495,3855,16342,14855,3224,10275,6735,4236,10635,4575,9887,6028,4894,14475,4247,12735,2124,13148,29425,12669,15667,,8655,13338,5055,15195,9135,4575,2384,18319,4255,12887,10935,,11267,9977,13849,10995,13208,4847,8687,9833,15654,6767,4054,3122,12634,9227,13755,7635,15082,4216,6195,12679,18634,4563,15872,0,13606,9255,9047,3480,3697,9587,12453,2252,10247,10006,6835,14551,5595,9227,8895,12510,8612,25908,9716,25852,7105,4337,7796,43598,8633,,12025,8931,7098,5585,7789,4095,9701,13367,10972,30851,,9594,27440,12536
Trafford,16500,14307,10773,23027,15573,17165,9370,6268,8373,4293,24964,17607,8013,14482,16924,14549,14493,15612,5193,8696,13378,39341,9187,6131,13305,43592,41017,10469,14373,12033,10653,9153,50504,10529,16557,14994,14373,14613,14600,13812,7143,14850,13944,13413,14193,16228,42948,16528,16589,29118,,13014,14295,11530,14853,9469,7018,14162,7653,12153,15542,6995,15813,2946,20191,15423,12753,9813,13833,15271,13706,30763,18683,16765,,10750,4864,13473,22150,20253,15209,15902,15817,14860,5193,8673,,3677,11198,9729,7653,9530,14669,10709,18100,16752,19173,17793,14830,5901,4713,13113,6393,15993,15033,16349,6189,18041,16858,22707,14492,0,8733,11069,14355,14926,4355,42784,13373,5470,24204,17038,10552,17613,7829,9213,12648,14025,31488,15436,27967,17203,18511,45717,46751,41047,,6971,37909,19389,17863,15699,15361,40688,20416,13319,44706,,38803,30499,11294
Wakefield,11967,10027,1080,20017,9720,12988,6180,9258,10620,6900,41071,12834,3480,10069,13415,12120,9780,13947,6840,4883,8905,33306,11515,13494,8712,42622,11342,7620,9960,4980,3840,1020,45934,9480,11170,8259,9120,7620,10042,8989,9604,9717,9108,9360,7980,11395,40455,12043,12416,23176,,8361,9762,4980,10620,5675,9768,9930,960,6060,11273,7620,10680,4380,12940,11057,7680,9240,6960,10929,6713,8590,15838,9979,,5700,6840,4860,19740,16620,10680,11129,9544,10387,6000,2520,,5160,8730,11194,2880,11961,11820,8880,14975,9895,14040,12360,9741,8651,5340,6960,7800,9187,10500,12900,6392,17299,13349,19740,10019,9422,0,7800,9702,10056,8580,37575,9020,7380,18751,13829,11264,12060,7980,3540,8655,6137,27615,14203,9102,9910,13378,35349,47603,37232,,9843,34094,14256,12730,16090,11068,34653,17087,9725,40136,,11887,33947,3581
Walsall,12687,10087,9060,15937,9240,12928,1772,12360,10920,9600,16051,10014,12480,10489,14255,7440,10440,10566,9840,13881,9385,,7834,9774,9372,36502,42422,4080,10440,12720,5340,9360,43414,2769,12213,16641,10800,15600,11002,9867,8839,10377,10011,9000,18060,12355,32715,12223,12776,22996,,9021,10122,13320,10680,14555,10202,10350,9240,6660,11519,7980,18480,7140,13600,11198,17460,5160,14700,11589,18173,32950,11394,18210,,7260,10380,10320,15660,15960,7860,11669,17704,11620,10020,7860,,8887,2281,10834,6420,6340,10270,3660,9395,17739,13860,12900,10957,7967,6480,16740,4680,16440,11460,8940,9452,12019,13169,15660,10679,12018,8220,0,10302,10625,5820,34155,9500,6480,13808,12099,11085,9240,2065,10740,8175,9437,33675,11109,14225,15430,12943,31929,51743,36812,,8291,33674,13866,12550,7828,11368,31233,13007,6042,37616,,7807,6453,13121
Waltham Forest,4046,4162,12945,13423,6165,7097,7185,14625,13185,11865,12736,6759,12705,3994,6860,9165,3525,7611,12465,15886,2980,7659,11080,12639,2877,21127,36527,5805,3525,11745,8085,8205,37519,10227,5025,15546,1845,14265,3992,1766,11538,3989,2526,2985,14745,4300,40320,6652,5981,15053,,1866,3447,11865,4005,16340,14733,3675,10365,6825,4723,10365,4485,9885,6898,4535,13305,4065,13665,3763,14018,29335,12759,15457,,8745,13336,4965,15105,10125,4665,2908,16369,4432,12885,10905,,11265,9795,13579,10545,13026,4485,9165,9923,16404,7785,5879,3982,12512,9225,13665,7425,15105,4425,6285,12677,18484,5368,15782,3186,13604,9525,8865,0,3770,9465,12903,2825,10125,9916,7105,14549,5685,9045,9525,12120,8522,25050,9534,14750,6715,6342,6894,44168,26028,,11903,10041,8102,6535,8059,4753,10321,13277,10790,31361,,10072,28600,12326
Wandsworth,6135,4897,12336,13683,6953,5541,7613,14753,13313,11993,11018,4373,13133,4362,5663,8875,2748,8018,12653,16156,3558,8222,11448,12827,2871,20960,35710,6233,1608,11273,8873,8393,57740,10655,4038,15674,3293,13853,3220,3327,11666,2919,3494,3248,17033,5905,40547,6670,4789,12007,,2414,2137,12773,2088,16528,14861,1939,10613,7193,4181,10733,5273,10073,5952,2675,14813,4493,13073,4011,13786,30258,12469,16005,,9413,13524,5393,14938,7788,4255,5122,18657,1440,13073,11273,,11453,10223,13947,11393,13454,4555,9653,9633,15992,5279,6233,3241,12640,9413,14093,7733,15420,2515,5995,12865,19035,6622,15615,3592,13792,9593,9293,3755,0,9593,11911,2006,10253,9749,5373,14737,4379,9473,9233,12908,8890,26603,9962,26685,6903,6696,8042,45991,27100,,12031,7633,6090,5278,8117,2482,8315,13110,11218,31181,,9782,25495,12874
Warrington,12447,10507,7860,18997,12180,12628,5400,5478,3900,3120,19111,14274,5820,10549,13895,11100,10260,12385,4860,6143,9085,,5505,4074,9012,39082,39482,6600,10140,10980,7680,7440,45994,6900,11880,13941,10560,13560,10522,9507,1822,10197,9831,9840,13140,11875,35835,12523,12296,23656,,8721,10242,10620,11100,7895,4674,9990,6600,9900,11579,2040,12960,1380,13420,10974,11700,7560,12780,10978,10973,30970,14818,15712,,7980,4531,12120,18720,16620,10800,11309,14764,11020,3180,5940,,2520,5730,4714,4860,4918,11460,6780,13955,15699,14520,12840,10057,2236,2160,12060,3780,14940,10980,11880,4412,12559,13829,18720,10259,4433,7680,6060,10062,10385,0,37275,9140,660,19831,14309,5624,12720,3180,8160,9915,10037,31695,13183,31057,15190,13858,35049,53603,35792,,2378,32654,14736,13210,11470,11548,34353,16067,8705,40196,,10867,29447,10241
West Berkshire,12082,11141,19817,11476,12137,13069,13817,23435,24677,20057,18348,7751,20297,9606,14452,9617,10637,14449,19817,22600,9222,13316,20211,20111,9065,20919,27259,12437,10397,18437,14957,14957,21283,16997,9425,22187,10997,20957,10052,9656,21466,8774,10268,9617,21737,12132,21291,10945,10661,20098,,8978,8279,18977,10577,22972,24536,9811,17357,12917,11055,20477,10637,17237,13677,10811,20177,11657,20417,10886,21070,28737,13113,23826,,15257,20688,11837,15317,14297,4817,11326,23061,10224,20057,18630,,19037,16667,23571,16937,19988,7817,13517,13192,23667,12197,13277,9594,22024,16577,20657,17057,22944,11657,7037,19969,71376,13966,15497,9976,20903,16337,15977,10259,9808,19637,0,9154,20297,13908,9585,23822,6977,15257,16397,20852,14374,20672,17306,18659,13767,13860,17486,25120,21263,,22227,19291,12588,12754,9747,9105,15614,12900,11987,20375,,14604,18089,20518
Westminster,4241,,12440,10333,5294,4602,6740,13700,12260,12320,11287,4830,12080,3003,5651,7874,1536,6479,11600,15261,2053,6788,9594,11714,962,20136,34228,5180,1596,11120,7940,7580,58009,9740,3734,14921,3200,13640,1981,2234,10613,1917,2501,3434,14120,4509,39455,5089,4150,12238,,1541,1256,11240,2076,15415,13808,2030,9740,5840,2712,9620,3554,9080,5416,3032,12680,3260,13040,3203,13393,28840,11588,14952,,8000,12140,4340,14774,7776,3434,3463,15744,,11960,14294,,11192,9410,12834,10400,12461,3734,8200,9052,15779,5990,4814,2225,11587,8420,13040,6740,14480,2496,5414,12324,17559,5683,15194,2293,12679,8900,8660,2822,2002,8540,10085,0,9200,8925,6169,13624,4836,8000,8900,12209,7237,25071,8794,14125,6810,4917,6929,44257,8960,,10978,7550,6321,4066,8171,2824,8303,13631,8479,30250,,8307,24029,11821
Wigan,13107,11167,9540,19657,12840,13288,6060,4200,3240,1080,19771,14934,7740,11209,14555,11760,10920,13405,4380,7946,9745,,6165,5094,9672,39682,16022,7260,10800,9660,7860,8400,46594,7560,12540,13599,11220,12720,11182,10167,3082,10857,10491,10500,12960,12535,36495,13183,12956,24316,,9381,10902,10980,11760,8111,3288,10650,6180,10260,12239,1500,13620,2340,14080,11634,12360,8220,11820,11638,12473,31870,15478,15439,,11820,4651,11520,19380,17280,11460,11969,14584,11680,3240,7440,,1920,6390,5494,6420,5578,12120,7440,14615,15339,15180,13500,10717,1127,3960,11640,4440,14767,11640,12540,5732,13279,14489,19380,10919,6062,7260,6720,10722,11045,660,37935,9800,0,20491,14969,6330,13380,3840,7740,11415,12437,32595,13843,33277,15850,14518,35709,54923,36392,,1871,33254,15396,13870,12130,12208,35013,16727,9365,40796,,11527,32747,9701
