,Cleveland,Durham,Northumbria,Cheshire,Cumbria,Greater Manchester,Lancashire,Merseyside,Humberside,North Yorkshire,South Yorkshire,West Yorkshire,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Staffordshire,Warwickshire,West Mercia,West Midlands,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,City of London,Metropolitan Police,Hampshire,Kent,Surrey,Sussex,Thames Valley,Avon and Somerset,Devon and Cornwall,Dorset,Gloucestershire,Wiltshire
Hampshire,18421.0,19706.0,20290.0,14675.0,20170.0,15124.0,15887.0,15749.0,16614.0,16624.0,13412.0,15263.0,11510.0,10269.0,12005.0,8492.0,12527.0,11730.0,7913.0,12542.0,10282.0,6269.0,9714.0,6931.0,6303.0,11821.0,10474.0,6419.0,5708.0,0.0,6094.0,3425.0,4418.0,4579.0,7499.0,9910.0,4927.0,7559.0,5670.0
Kent,16646.0,17930.0,18515.0,14972.0,19947.0,15421.0,16183.0,16045.0,14444.0,14848.0,12473.0,14325.0,10572.0,9330.0,9767.0,7553.0,10767.0,12026.0,8209.0,12335.0,10202.0,5330.0,7476.0,2811.0,4616.0,8087.0,6354.0,3607.0,3970.0,5965.0,0.0,3822.0,4680.0,4282.0,9614.0,13049.0,9445.0,9711.0,7785.0
Surrey,15685.0,16970.0,17554.0,12532.0,18027.0,12981.0,13744.0,13605.0,13878.0,13888.0,10676.0,12527.0,8774.0,7533.0,9269.0,5755.0,9791.0,9586.0,5770.0,9895.0,7762.0,3533.0,6977.0,4688.0,3567.0,9085.0,8137.0,3964.0,3251.0,3407.0,3851.0,0.0,4598.0,1843.0,6959.0,10433.0,6828.0,7019.0,5130.0
Sussex,18788.0,20072.0,20657.0,15634.0,21130.0,16084.0,16846.0,16708.0,16980.0,16990.0,13778.0,15630.0,11876.0,10635.0,12371.0,8858.0,12893.0,12689.0,8872.0,12998.0,10865.0,6635.0,10080.0,5468.0,6669.0,10744.0,9011.0,6270.0,5983.0,4257.0,4631.0,4485.0,0.0,4945.0,10277.0,13615.0,8632.0,10374.0,8448.0
Thames Valley,15117.0,16401.0,16986.0,11583.0,17079.0,12033.0,12795.0,12657.0,13309.0,13319.0,10107.0,11959.0,8205.0,6964.0,8700.0,5187.0,9222.0,8638.0,4821.0,8947.0,6814.0,2964.0,6409.0,4552.0,2998.0,8517.0,7568.0,3384.0,2671.0,4506.0,4292.0,1823.0,5039.0,0.0,6080.0,10538.0,6934.0,6140.0,4251.0
Avon and Somerset,15371.0,16656.0,17240.0,10348.0,15843.0,10797.0,11560.0,11421.0,13564.0,13574.0,10362.0,12213.0,8403.0,8032.0,12141.0,8601.0,10076.0,7402.0,6288.0,7670.0,5410.0,8648.0,10717.0,10236.0,8682.0,14200.0,13252.0,9068.0,8355.0,7468.0,9710.0,6963.0,10457.0,6121.0,0.0,5870.0,6601.0,2929.0,2858.0
Devon and Cornwall,19652.0,20936.0,21521.0,14628.0,20124.0,15078.0,15840.0,15702.0,17844.0,17854.0,14642.0,16493.0,12684.0,12313.0,16422.0,13067.0,14356.0,11683.0,10568.0,11950.0,9691.0,12509.0,14998.0,13979.0,12543.0,18061.0,17113.0,12940.0,12227.0,9861.0,13141.0,10436.0,13739.0,10516.0,5819.0,0.0,5296.0,7210.0,7510.0
Dorset,20344.0,21628.0,22213.0,16059.0,21554.0,16508.0,17271.0,17133.0,18536.0,18546.0,15334.0,17186.0,13433.0,12191.0,14588.0,10635.0,14450.0,13114.0,9612.0,13381.0,11121.0,8852.0,12296.0,10321.0,8886.0,14404.0,13456.0,9283.0,8570.0,4857.0,9484.0,6778.0,8734.0,6858.0,6539.0,5240.0,0.0,8640.0,7058.0
Gloucestershire,13533.0,14818.0,15402.0,8510.0,14006.0,8960.0,9722.0,9584.0,11726.0,11736.0,8524.0,10375.0,6566.0,6195.0,10304.0,6949.0,8238.0,5565.0,4516.0,5832.0,3573.0,7850.0,8880.0,9438.0,7884.0,12626.0,11678.0,8495.0,8115.0,7528.0,9769.0,7022.0,10516.0,6181.0,2722.0,7077.0,8519.0,0.0,2882.0
Wiltshire,15517.0,16802.0,17386.0,10494.0,15989.0,10943.0,11706.0,11567.0,13710.0,13720.0,10508.0,12359.0,8549.0,7673.0,11287.0,6271.0,9958.0,7548.0,5059.0,7816.0,5556.0,6743.0,8996.0,8331.0,6777.0,12367.0,11419.0,7162.0,6450.0,5563.0,7805.0,5058.0,8552.0,4216.0,2837.0,7567.0,7054.0,2833.0,0.0
